,grapheme,label,grapheme_root,vowel_diacritic,consonant_diacritic
880,রো,880,123,9,0
881,ক্রী,881,13,3,5
882,শ্নো,882,135,9,0
883,ঙ্কো,883,32,9,0
884,র্ত্রী,884,64,3,2
885,চ্ছে,885,40,7,0
886,চ্ছ,886,40,0,0
887,নৌ,887,81,10,0
888,ন্টো,888,83,9,0
889,ঞ্চু,889,50,4,0
890,ন্ধ্যা,890,91,1,4
891,ত্বি,891,69,2,0
892,ষ্ট্যে,892,141,7,4
893,ত্ম্যে,893,70,7,4
894,প্রে,894,96,7,5
895,র্ঘা,895,29,1,2
896,যে,896,122,7,0
897,ঙ্গু,897,36,4,0
898,ঊ,898,7,0,0
899,স্ত্রী,899,150,3,5
900,র্দ্ধ,900,75,0,2
901,স্কু,901,148,4,0
902,ন্ধা,902,91,1,0
903,গ্রা,903,23,1,5
904,রা,904,123,1,0
905,ষ্ঠে,905,142,7,0
906,ঙ্ক্ষি,906,34,2,0
907,ষ্ক,907,140,0,0
908,লি,908,124,2,0
909,ট্যা,909,53,1,4
910,ন্ত,910,86,0,0
911,ত্রে,911,64,7,5
912,ছাঁ,912,42,1,1
913,শ্লু,913,138,4,0
914,ট্টা,914,54,1,0
915,ত্ত্বা,915,66,1,0
916,ব্যে,916,107,7,4
917,র্মো,917,115,9,2
918,র্ছা,918,42,1,2
919,গ্নে,919,25,7,0
920,খি,920,22,2,0
921,ল্টো,921,127,9,0
922,দ্বি,922,76,2,0
923,ম্প্র,923,117,0,5
924,ণি,924,59,2,0
925,হ্লা,925,163,1,0
926,ন্দ্বে,926,90,7,0
927,ক্কে,927,14,7,0
928,ঠু,928,55,4,0
929,ক্তা,929,16,1,0
930,ণ্ডু,930,62,4,0
931,স্যা,931,147,1,4
932,ন্তী,932,86,3,0
933,ন্টু,933,83,4,0
934,ঠোঁ,934,55,9,1
935,প্ত,935,98,0,0
936,ল্লে,936,132,7,0
937,ন্বী,937,93,3,0
938,দ্বা,938,76,1,0
939,ন্ব,939,93,0,0
940,জ্যু,940,43,4,4
941,ন্থা,941,88,1,0
942,র্টে,942,53,7,2
943,ষ্ঠা,943,142,1,0
944,ষ্ট্য,944,141,0,4
945,ব্দি,945,109,2,0
946,মৃ,946,115,6,0
947,র্লি,947,124,2,2
948,ত্বী,948,69,3,0
949,ভ্য,949,113,0,4
950,দ্ম,950,78,0,0
951,ন্মি,951,94,2,0
952,টি,952,53,2,0
953,ড়ে,953,165,7,0
954,ন্স,954,95,0,0
955,র্যো,955,123,9,4
956,জে,956,43,7,0
957,ত্ম,957,70,0,0
958,স্কো,958,148,9,0
959,ম্ভে,959,119,7,0
960,ন্দ্বি,960,90,2,0
961,ণা,961,59,1,0
962,ক্তি,962,16,2,0
963,লু,963,124,4,0
964,দ্ঘা,964,73,1,0
965,ণ্ঠ,965,61,0,0
966,ইঁ,966,4,0,1
967,ক্টে,967,15,7,0
968,র্না,968,81,1,2
969,র্নী,969,81,3,2
970,শী,970,133,3,0
971,ষু,971,139,4,0
972,ক্সি,972,21,2,0
973,স্প্যা,973,153,1,4
974,ম্পে,974,117,7,0
975,পৌঁ,975,96,10,1
976,ঝ,976,48,0,0
977,র্হ,977,159,0,2
978,র্ভু,978,113,4,2
979,ণ্ডা,979,62,1,0
980,র্দে,980,72,7,2
981,ন্নী,981,92,3,0
982,র্ক্সী,982,21,3,2
983,নূ,983,81,5,0
984,হ্যে,984,159,7,4
985,ল্ড,985,128,0,0
986,ক্ষ্ম,986,20,0,0
987,স্ক্রি,987,148,2,5
988,জ্বা,988,47,1,0
989,ন্ধ্র,989,91,0,5
990,র্ত্রে,990,64,7,2
991,ন্যু,991,81,4,4
992,ঢি,992,58,2,0
993,ক্ষী,993,18,3,0
994,ট্টো,994,54,9,0
995,ব্ধি,995,110,2,0
996,ত্তে,996,65,7,0
997,ম্যে,997,115,7,4
998,কৈ,998,13,8,0
999,চ্ছু,999,40,4,0
1000,দ্দী,1000,74,3,0
1001,স্প্রি,1001,153,2,5
1002,খৃ,1002,22,6,0
1003,শ্যি,1003,133,2,4
1004,চেঁ,1004,38,7,1
1005,র্প,1005,96,0,2
1006,ক্ল,1006,17,0,0
1007,লো,1007,124,9,0
1008,র্ব্ব,1008,111,0,2
1009,ঙি,1009,31,2,0
1010,দ্বে,1010,76,7,0
1011,ত্তা,1011,65,1,0
1012,হো,1012,159,9,0
1013,স্ট্রে,1013,149,7,5
1014,ম্পি,1014,117,2,0
1015,পূ,1015,96,5,0
1016,কো,1016,13,9,0
1017,অ,1017,2,0,0
1018,থু,1018,71,4,0
1019,গ্রো,1019,23,9,5
1020,স্ক্রু,1020,148,4,5
1021,ক্রে,1021,13,7,5
1022,ল্লু,1022,132,4,0
1023,স্রা,1023,147,1,5
1024,জ্জি,1024,44,2,0
1025,জ্জী,1025,44,3,0
1026,গ্রি,1026,23,2,5
1027,ঝুঁ,1027,48,4,1
1028,য্যা,1028,122,1,4
1029,স্টা,1029,149,1,0
1030,ধৌ,1030,79,10,0
1031,ষ্ফো,1031,145,9,0
1032,র্গী,1032,23,3,2
1033,জু,1033,43,4,0
1034,দ্ব্য,1034,76,0,4
1035,ল্কি,1035,125,2,0
1036,র্শি,1036,133,2,2
1037,ষ্প,1037,144,0,0
1038,র্চি,1038,38,2,2
1039,য়ী,1039,167,3,0
1040,স,1040,147,0,0
1041,স্ম,1041,156,0,0
1042,হৃ,1042,159,6,0
1043,শ্চ,1043,134,0,0
1044,ফৌ,1044,103,10,0
1045,দ্মা,1045,78,1,0
1046,ঢ়,1046,166,0,0
1047,ন্ডি,1047,85,2,0
1048,ভো,1048,113,9,0
1049,দ্বৃ,1049,76,6,0
1050,তৌ,1050,64,10,0
1051,শৃ,1051,133,6,0
1052,গা,1052,23,1,0
1053,ল্ব,1053,130,0,0
1054,ড্র,1054,56,0,5
1055,চ্যে,1055,38,7,4
1056,ত্যি,1056,64,2,4
1057,হ্য,1057,159,0,4
1058,স্ট্রো,1058,149,9,5
1059,ং,1059,0,0,0
1060,ত্বে,1060,69,7,0
1061,চূ,1061,38,5,0
1062,স্পি,1062,153,2,0
1063,ছিঁ,1063,42,2,1
1064,খোঁ,1064,22,9,1
1065,চ্যু,1065,38,4,4
1066,প্ন,1066,99,0,0
1067,টো,1067,53,9,0
1068,ক্সা,1068,21,1,0
1069,দ্ধৃ,1069,75,6,0
1070,প্র,1070,96,0,5
1071,ফ্ট,1071,104,0,0
1072,ঢ,1072,58,0,0
1073,ল্মে,1073,131,7,0
1074,ম্ভো,1074,119,9,0
1075,শ্চি,1075,134,2,0
1076,ম্ভ,1076,119,0,0
1077,গ্র্যা,1077,23,1,6
1078,কেঁ,1078,13,7,1
1079,র্ক্স,1079,21,0,2
1080,স্ত,1080,150,0,0
1081,র্শ্বে,1081,136,7,2
1082,র্পে,1082,96,7,2
1083,ভু,1083,113,4,0
1084,মে,1084,115,7,0
1085,চ্চ,1085,39,0,0
1086,ঋ,1086,8,0,0
1087,শ্রু,1087,133,4,5
1088,ঞ্চা,1088,50,1,0
1089,স্তি,1089,150,2,0
1090,ঙ্ঘ,1090,37,0,0
1091,ন্ডী,1091,85,3,0
1092,ভ্রূ,1092,113,5,5
1093,র্দ্বি,1093,76,2,2
1094,ও,1094,11,0,0
1095,সাঁ,1095,147,1,1
1096,র্ত্ত,1096,65,0,2
1097,থো,1097,71,9,0
1098,স্ট্যা,1098,149,1,4
1099,ঝি,1099,48,2,0
1100,ব্রী,1100,107,3,5
1101,ঘৃ,1101,29,6,0
1102,এ্যা,1102,9,1,4
1103,খ,1103,22,0,0
1104,ত্রি,1104,64,2,5
1105,গাঁ,1105,23,1,1
1106,ম্বী,1106,118,3,0
1107,জ্জে,1107,44,7,0
1108,যৌ,1108,122,10,0
1109,ঞ্চি,1109,50,2,0
1110,হ্বা,1110,161,1,0
1111,ল্ডি,1111,128,2,0
1112,ষ্মে,1112,146,7,0
1113,চৌ,1113,38,10,0
1114,ট্র,1114,53,0,5
1115,ন্মা,1115,94,1,0
1116,ভ্যু,1116,113,4,4
1117,ক্টো,1117,15,9,0
1118,স্লা,1118,157,1,0
1119,ত্ত্বে,1119,66,7,0
1120,সৌ,1120,147,10,0
1121,ন্ন,1121,92,0,0
1122,ষ্যে,1122,139,7,4
1123,র্থ্য,1123,71,0,3
1124,র্ডে,1124,56,7,2
1125,ন্দ,1125,89,0,0
1126,লে,1126,124,7,0
1127,ত্তী,1127,65,3,0
1128,ধৃ,1128,79,6,0
1129,মু,1129,115,4,0
1130,গোঁ,1130,23,9,1
1131,চৈ,1131,38,8,0
1132,ম্মী,1132,120,3,0
1133,ধাঁ,1133,79,1,1
1134,ন্দো,1134,89,9,0
1135,ল্কী,1135,125,3,0
1136,র্কো,1136,13,9,2
1137,দ্রী,1137,72,3,5
1138,ম্মু,1138,120,4,0
1139,ঙ্গী,1139,36,3,0
1140,ঝা,1140,48,1,0
1141,দু,1141,72,4,0
1142,দ্ধে,1142,75,7,0
1143,ব্দে,1143,109,7,0
1144,স্যো,1144,147,9,4
1145,ঙে,1145,31,7,0
1146,যু,1146,122,4,0
1147,ট্য,1147,53,0,4
1148,হ্যা,1148,159,1,4
1149,স্ট্রি,1149,149,2,5
1150,তী,1150,64,3,0
1151,বু,1151,107,4,0
1152,র্স,1152,147,0,2
1153,ট্রি,1153,53,2,5
1154,ষ্ফ,1154,145,0,0
1155,ব্বি,1155,111,2,0
1156,দা,1156,72,1,0
1157,প্ল্যা,1157,101,1,4
1158,ফ্র,1158,103,0,5
1159,স্নো,1159,152,9,0
1160,ঙ্কী,1160,32,3,0
1161,র্ধ্বে,1161,80,7,2
1162,স্মৃ,1162,156,6,0
1163,ম্যু,1163,115,4,4
1164,ণ্টা,1164,60,1,0
1165,বাঁ,1165,107,1,1
1166,থী,1166,71,3,0
1167,ক্রো,1167,13,9,5
1168,নে,1168,81,7,0
1169,র্ঘ,1169,29,0,2
1170,হূ,1170,159,5,0
1171,র্তৃ,1171,64,6,2
1172,ণ্ঠি,1172,61,2,0
1173,রে,1173,123,7,0
1174,র্গি,1174,23,2,2
1175,ফ্যা,1175,103,1,4
1176,ণ্ড,1176,62,0,0
1177,ঞ্চ,1177,50,0,0
1178,ঞ্জ,1178,52,0,0
1179,ঙ্গ,1179,36,0,0
1180,ঙ্ঘি,1180,37,2,0
1181,র্দা,1181,72,1,2
1182,ষ্পা,1182,144,1,0
1183,র্শ্ব,1183,136,0,2
1184,শ্র,1184,133,0,5
1185,র্থী,1185,71,3,2
1186,শৈ,1186,133,8,0
1187,জ,1187,43,0,0
1188,ধ্ব,1188,80,0,0
1189,স্বি,1189,155,2,0
1190,শো,1190,133,9,0
1191,ন্দ্রী,1191,89,3,5
1192,দ্বৈ,1192,76,8,0
1193,ষে,1193,139,7,0
1194,ব্ল্যা,1194,112,1,4
1195,ভ্লা,1195,114,1,0
1196,হ্মা,1196,162,1,0
1197,ব্র্যা,1197,107,1,6
1198,ক্ষৌ,1198,18,10,0
1199,ঘ্রা,1199,29,1,5
1200,স্টি,1200,149,2,0
1201,স্ত্রে,1201,150,7,5
1202,স্ফো,1202,154,9,0
1203,র্শা,1203,133,1,2
1204,ফাঁ,1204,103,1,1
1205,গি,1205,23,2,0
1206,দ,1206,72,0,0
1207,নি,1207,81,2,0
1208,ঔ,1208,12,0,0
1209,ম্না,1209,116,1,0
1210,র্জে,1210,43,7,2
1211,টে,1211,53,7,0
1212,ঙা,1212,31,1,0
1213,জ্র,1213,43,0,5
1214,ঠ,1214,55,0,0
1215,ঞ্চে,1215,50,7,0
1216,ক্স,1216,21,0,0
1217,র্সে,1217,147,7,2
1218,জী,1218,43,3,0
1219,জো,1219,43,9,0
1220,শ্মি,1220,137,2,0
1221,ন্টে,1221,83,7,0
1222,ক্লো,1222,17,9,0
1223,ব্রি,1223,107,2,5
1224,প্লু,1224,101,4,0
1225,ড্ডী,1225,57,3,0
1226,ক্রু,1226,13,4,5
1227,র্দ্ধে,1227,75,7,2
1228,না,1228,81,1,0
1229,সী,1229,147,3,0
1230,র্গে,1230,23,7,2
1231,ন্ধু,1231,91,4,0
1232,স্রে,1232,147,7,5
1233,শা,1233,133,1,0
1234,এঁ,1234,9,0,1
1235,স্র,1235,147,0,5
1236,ষ্টু,1236,141,4,0
1237,র্জী,1237,43,3,2
1238,গৃ,1238,23,6,0
1239,দ্ভি,1239,77,2,0
1240,ত্রা,1240,64,1,5
1241,ম্ভি,1241,119,2,0
1242,র্ণি,1242,59,2,2
1243,ক্রি,1243,13,2,5
1244,ন্ধ,1244,91,0,0
1245,মো,1245,115,9,0
1246,ল্পা,1246,129,1,0
1247,ল্টা,1247,127,1,0
1248,ন্দ্ব,1248,90,0,0
1249,র্বে,1249,107,7,2
1250,ব্লে,1250,112,7,0
1251,ঝে,1251,48,7,0
1252,কৌ,1252,13,10,0
1253,মৌ,1253,115,10,0
1254,ষ্টা,1254,141,1,0
1255,ধ্যি,1255,79,2,4
1256,র্তা,1256,64,1,2
1257,স্তে,1257,150,7,0
1258,ষ্ট,1258,141,0,0
1259,স্ট্র্যা,1259,149,1,6
1260,র্দু,1260,72,4,2
1261,চাঁ,1261,38,1,1
1262,ষ্ট্র,1262,141,0,5
1263,স্লো,1263,157,9,0
1264,খৈ,1264,22,8,0
1265,র্ন্ত,1265,86,0,2
1266,ক,1266,13,0,0
1267,ল্লো,1267,132,9,0
1268,প্লি,1268,101,2,0
1269,ঙ্খ,1269,35,0,0
1270,ম্ন,1270,116,0,0
1271,দ্রো,1271,72,9,5
1272,ত্মী,1272,70,3,0
1273,জ্ব,1273,47,0,0
1274,ঘো,1274,29,9,0
1275,ন্টি,1275,83,2,0
1276,ন্থে,1276,88,7,0
1277,ব্ল,1277,112,0,0
1278,ন্দী,1278,89,3,0
1279,ছুঁ,1279,42,4,1
1280,ভি,1280,113,2,0
1281,ট,1281,53,0,0
1282,ঘ্যা,1282,29,1,4
1283,র্গ,1283,23,0,2
1284,ক্ষো,1284,18,9,0
1285,ড্ডা,1285,57,1,0
1286,স্ত্রি,1286,150,2,5
1287,য্য,1287,122,0,4
1288,র্গু,1288,23,4,2
1289,র্সি,1289,147,2,2
1290,ল্লি,1290,132,2,0
1291,ষ্টে,1291,141,7,0
1292,দ্রা,1292,72,1,5
1293,র্দো,1293,72,9,2
1294,ল্য,1294,124,0,4
